 0.589  0.433  0.320  0.239  0.182  0.143  0.116  0.098  0.086  0.076  0.068  0.060  0.051  0.041  0.030  0.018  0.006 -0.006 -0.016 -0.024 -0.030 -0.033 -0.033 -0.030 -0.024 -0.016 -0.006  0.004  0.014  0.023  0.030  0.035  0.038  0.037  0.033  0.027  0.019  0.010  0.001 -0.009 -0.017 -0.023 -0.027 -0.028 -0.026 -0.022 -0.016 -0.008  0.000  0.009  0.016  0.023  0.027  0.028  0.027  0.023  0.017  0.009 -0.000 -0.010 -0.019 -0.027 -0.033 -0.036 -0.037 
 0.605  0.447  0.331  0.248  0.188  0.145  0.116  0.095  0.080  0.069  0.060  0.051  0.043  0.034  0.025  0.015  0.006 -0.003 -0.011 -0.017 -0.022 -0.024 -0.024 -0.022 -0.017 -0.011 -0.004  0.003  0.011  0.018  0.023  0.027  0.029  0.028  0.026  0.021  0.015  0.008  0.001 -0.006 -0.012 -0.016 -0.019 -0.020 -0.019 -0.016 -0.012 -0.006  0.000  0.006  0.012  0.016  0.019  0.020  0.020  0.017  0.012  0.006 -0.001 -0.008 -0.015 -0.021 -0.025 -0.028 -0.028 
 0.565  0.419  0.311  0.232  0.175  0.135  0.106  0.085  0.071  0.060  0.051  0.043  0.036  0.028  0.021  0.013  0.006 -0.001 -0.008 -0.012 -0.016 -0.018 -0.018 -0.016 -0.013 -0.008 -0.003  0.003  0.009  0.014  0.018  0.021  0.022  0.022  0.020  0.017  0.012  0.007  0.002 -0.003 -0.008 -0.012 -0.014 -0.015 -0.014 -0.012 -0.009 -0.004  0.000  0.005  0.009  0.012  0.014  0.015  0.014  0.012  0.008  0.004 -0.001 -0.007 -0.012 -0.016 -0.019 -0.021 -0.022 
 0.474  0.351  0.261  0.195  0.147  0.113  0.088  0.070  0.058  0.048  0.041  0.034  0.028  0.022  0.016  0.010  0.005 -0.001 -0.005 -0.009 -0.012 -0.013 -0.013 -0.012 -0.009 -0.006 -0.002  0.003  0.007  0.011  0.014  0.016  0.017  0.017  0.016  0.013  0.010  0.006  0.002 -0.002 -0.005 -0.008 -0.010 -0.010 -0.010 -0.009 -0.006 -0.003  0.000  0.003  0.006  0.009  0.010  0.011  0.010  0.008  0.006  0.002 -0.002 -0.006 -0.009 -0.013 -0.015 -0.016 -0.017 
 0.339  0.251  0.186  0.139  0.105  0.080  0.063  0.051  0.042  0.035  0.030  0.025  0.021  0.016  0.012  0.008  0.003 -0.000 -0.004 -0.007 -0.009 -0.010 -0.009 -0.008 -0.007 -0.004 -0.001  0.002  0.006  0.009  0.011  0.013  0.013  0.013  0.012  0.010  0.008  0.005  0.002 -0.001 -0.003 -0.005 -0.007 -0.007 -0.007 -0.006 -0.004 -0.002  0.000  0.003  0.005  0.006  0.007  0.008  0.007  0.006  0.004  0.001 -0.002 -0.005 -0.008 -0.010 -0.012 -0.013 -0.013 
 0.174  0.128  0.095  0.071  0.053  0.041  0.033  0.027  0.023  0.020  0.018  0.015  0.013  0.010  0.008  0.005  0.002 -0.001 -0.003 -0.005 -0.006 -0.007 -0.007 -0.006 -0.005 -0.003 -0.000  0.002  0.005  0.007  0.009  0.010  0.010  0.010  0.010  0.008  0.006  0.004  0.002 -0.000 -0.002 -0.004 -0.005 -0.005 -0.005 -0.004 -0.003 -0.002  0.000  0.002  0.003  0.005  0.005  0.005  0.005  0.004  0.002  0.000 -0.002 -0.004 -0.006 -0.008 -0.009 -0.010 -0.010 
-0.008 -0.007 -0.006 -0.005 -0.003 -0.001  0.001  0.002  0.004  0.005  0.006  0.006  0.006  0.005  0.003  0.002  0.000 -0.001 -0.003 -0.004 -0.005 -0.005 -0.005 -0.005 -0.003 -0.002 -0.000  0.002  0.004  0.005  0.007  0.008  0.008  0.008  0.008  0.007  0.005  0.004  0.002  0.000 -0.001 -0.002 -0.003 -0.004 -0.003 -0.003 -0.002 -0.001  0.000  0.001  0.002  0.003  0.004  0.004  0.003  0.003  0.001 -0.000 -0.002 -0.003 -0.005 -0.006 -0.007 -0.008 -0.008 
-0.190 -0.143 -0.108 -0.081 -0.060 -0.044 -0.032 -0.022 -0.015 -0.010 -0.006 -0.003 -0.001 -0.001 -0.000 -0.001 -0.001 -0.002 -0.003 -0.004 -0.004 -0.004 -0.004 -0.003 -0.002 -0.001  0.000  0.002  0.003  0.004  0.005  0.006  0.007  0.007  0.006  0.005  0.004  0.003  0.002  0.001 -0.000 -0.001 -0.002 -0.002 -0.002 -0.002 -0.001 -0.001  0.000  0.001  0.002  0.002  0.003  0.003  0.002  0.002  0.001 -0.000 -0.002 -0.003 -0.004 -0.005 -0.006 -0.006 -0.006 
-0.357 -0.268 -0.201 -0.150 -0.112 -0.083 -0.061 -0.045 -0.032 -0.023 -0.016 -0.011 -0.008 -0.005 -0.004 -0.003 -0.003 -0.003 -0.003 -0.003 -0.003 -0.003 -0.003 -0.002 -0.002 -0.001  0.000  0.002  0.003  0.004  0.004  0.005  0.005  0.005  0.005  0.005  0.004  0.003  0.002  0.001  0.000 -0.001 -0.001 -0.001 -0.001 -0.001 -0.001 -0.000  0.000  0.001  0.001  0.002  0.002  0.002  0.001  0.001  0.000 -0.001 -0.002 -0.003 -0.003 -0.004 -0.005 -0.005 -0.005 
-0.495 -0.371 -0.278 -0.208 -0.155 -0.116 -0.086 -0.063 -0.046 -0.034 -0.024 -0.017 -0.012 -0.009 -0.007 -0.005 -0.004 -0.004 -0.003 -0.003 -0.003 -0.003 -0.002 -0.002 -0.001 -0.000  0.001  0.001  0.002  0.003  0.004  0.004  0.004  0.004  0.004  0.004  0.003  0.003  0.002  0.001  0.000 -0.000 -0.001 -0.001 -0.001 -0.001 -0.001 -0.000  0.000  0.001  0.001  0.001  0.001  0.001  0.001  0.001 -0.000 -0.001 -0.001 -0.002 -0.003 -0.003 -0.004 -0.004 -0.004 
